"YEAR","Seas","Flt","Gender","Part","Ageerr","Lbin_lo","Lbin_hi","NUMTOWS","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"2017","1","MOBILEGOFM","0","0","1","23","23","7","0","0","4","16","2","0","0","0","0","0","0","0","0","0","0"
"2016","1","MOBILEGOFM","0","0","1","23","23","7","0","0","0","10","2","1","0","0","0","0","0","0","0","0","0"
"2017","2","MOBILEOTHER","0","0","1","23","23","7","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEOTHER","0","0","1","23","23","11","0","1","10","9","1","0","0","0","0","0","0","0","0","0","0"
"2017","1","MOBILEOTHER","0","0","1","23","23","23","0","0","0","50","5","0","0","0","0","0","0","0","0","0","0"
"2016","1","MOBILEOTHER","0","0","1","23","23","30","0","0","1","32","12","1","0","0","0","0","0","0","0","0","0"
"2017","2","MOBILEGOFM","0","0","1","24","24","66","0","0","1","42","10","2","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEGOFM","0","0","1","24","24","45","0","0","2","25","27","3","0","1","0","0","0","0","0","0","0"
"2017","1","MOBILEGOFM","0","0","1","24","24","7","0","0","0","3","5","1","0","0","0","0","0","0","0","0","0"
"2016","1","MOBILEGOFM","0","0","1","24","24","7","0","0","0","7","11","0","0","0","0","0","0","0","0","0","0"
"2017","2","MOBILEOTHER","0","0","1","24","24","7","0","0","0","8","4","0","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEOTHER","0","0","1","24","24","11","0","0","2","5","9","3","0","0","0","0","0","0","0","0","0"
"2017","1","MOBILEOTHER","0","0","1","24","24","23","0","0","0","16","23","21","0","0","0","0","0","0","0","0","0"
"2016","1","MOBILEOTHER","0","0","1","24","24","30","0","0","0","16","77","11","1","0","0","0","0","0","0","0","0"
"2017","2","MOBILEGOFM","0","0","1","25","25","66","0","0","0","21","14","19","2","0","0","0","0","0","0","0","0"
"2016","2","MOBILEGOFM","0","0","1","25","25","45","0","0","0","8","50","9","3","2","0","0","0","0","0","0","0"
"2017","1","MOBILEGOFM","0","0","1","25","25","7","0","0","0","2","3","10","1","1","0","0","0","0","0","0","0"
"2016","1","MOBILEGOFM","0","0","1","25","25","7","0","0","0","1","18","3","1","0","0","0","0","0","0","0","0"
"2017","2","MOBILEOTHER","0","0","1","25","25","7","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEOTHER","0","0","1","25","25","11","0","0","0","2","33","9","0","3","0","0","0","0","0","0","0"
"2017","1","MOBILEOTHER","0","0","1","25","25","23","0","0","0","5","21","48","5","1","2","0","0","0","0","0","0"
"2016","1","MOBILEOTHER","0","0","1","25","25","30","0","0","0","5","77","17","3","4","1","0","0","0","0","0","0"
"2017","2","MOBILEGOFM","0","0","1","26","26","66","0","0","0","2","14","42","2","2","0","0","0","0","0","0","0"
"2016","2","MOBILEGOFM","0","0","1","26","26","45","0","0","0","3","46","10","11","8","2","0","0","0","0","0","0"
"2017","1","MOBILEGOFM","0","0","1","26","26","7","0","0","0","0","1","10","2","1","1","0","0","0","0","0","0"
"2016","1","MOBILEGOFM","0","0","1","26","26","7","0","0","0","1","12","3","5","6","0","0","0","0","0","0","0"
"2017","2","MOBILEOTHER","0","0","1","26","26","7","0","0","0","0","0","9","0","1","0","1","0","0","0","0","0"
"2016","2","MOBILEOTHER","0","0","1","26","26","11","0","0","0","3","14","12","8","4","1","0","0","0","0","0","0"
"2017","1","MOBILEOTHER","0","0","1","26","26","23","0","0","0","0","3","53","7","6","3","1","0","0","0","0","0"
"2016","1","MOBILEOTHER","0","0","1","26","26","30","0","0","0","1","23","16","16","38","2","1","0","0","0","0","0"
"2017","2","MOBILEGOFM","0","0","1","27","27","66","0","0","0","0","2","29","7","5","6","1","0","0","0","0","0"
"2016","2","MOBILEGOFM","0","0","1","27","27","45","0","0","0","0","7","8","12","28","4","0","0","0","0","0","0"
"2017","1","MOBILEGOFM","0","0","1","27","27","7","0","0","0","0","0","4","5","4","2","1","0","0","0","0","0"
"2016","1","MOBILEGOFM","0","0","1","27","27","7","0","0","0","0","1","1","3","10","1","0","0","0","0","0","0"
"2017","2","MOBILEOTHER","0","0","1","27","27","7","0","0","0","0","1","3","1","2","2","0","0","0","0","0","0"
"2016","2","MOBILEOTHER","0","0","1","27","27","11","0","0","0","1","8","4","7","13","0","0","0","0","0","0","0"
"2017","1","MOBILEOTHER","0","0","1","27","27","23","0","0","0","1","1","16","3","21","7","3","0","0","0","0","0"
"2016","1","MOBILEOTHER","0","0","1","27","27","30","0","0","0","0","4","2","11","35","3","0","0","0","0","0","0"
"2017","2","MOBILEGOFM","0","0","1","28","28","66","0","0","0","0","0","2","3","2","0","0","0","0","0","0","0"
"2016","2","MOBILEGOFM","0","0","1","28","28","45","0","0","0","0","0","0","3","3","1","1","0","0","0","0","0"
"2017","1","MOBILEGOFM","0","0","1","28","28","7","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0"
"2016","1","MOBILEGOFM","0","0","1","28","28","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2017","2","MOBILEOTHER","0","0","1","28","28","7","0","0","0","0","0","2","1","3","1","0","0","0","0","0","0"
"2016","2","MOBILEOTHER","0","0","1","28","28","11","0","0","0","0","0","2","3","5","2","0","1","0","0","0","0"
"2017","1","MOBILEOTHER","0","0","1","28","28","23","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0"
"2016","1","MOBILEOTHER","0","0","1","28","28","30","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"2017","2","MOBILEGOFM","0","0","1","29","29","66","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2017","2","MOBILEOTHER","0","0","1","29","29","7","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0"
"2016","2","MOBILEOTHER","0","0","1","29","29","11","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
